season,events_played,top_10,top_25,cuts,cuts_made,points,points_rank,earnings,earnings_rank,drive_avg,drive_acc,gir_pct,world_rank,strokes_gained,hole_proximity_avg,scrambling_pct,scoring_avg,first_place,third_place,putt_avg,sand_saves_pct,birdies_per_round,holes_per_eagle,strokes_gained_tee_green,strokes_gained_total,total_driving,second_place
"{'id': '27e3e699-87d6-495f-9ea2-615cdfa6b1b5', 'year': 2014, 'tour': {'id': 'b52068af-28e4-4e91-bdbb-037591b0ff84', 'alias': 'pga', 'name': 'PGA Tour'}}",,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'id': '336f4027-458d-487d-a679-3ce330c0d733', 'year': 2015, 'tour': {'id': 'b52068af-28e4-4e91-bdbb-037591b0ff84', 'alias': 'pga', 'name': 'PGA Tour'}}",30.0,7.0,15.0,7.0,23.0,1498.0,32.0,2278564.0,37.0,303.2,58.24,68.92,75.0,0.043,"34'8""",61.55,70.083,,,,,,,,,,
"{'id': 'f7df115a-0ddd-4894-8e81-07e27f533067', 'year': 2016, 'tour': {'id': 'b52068af-28e4-4e91-bdbb-037591b0ff84', 'alias': 'pga', 'name': 'PGA Tour'}}",28.0,7.0,10.0,6.0,22.0,748.0,12.0,4126366.0,11.0,301.0,54.19,65.82,33.0,-0.234,"35' 3""",54.95,70.633,1.0,4.0,1.778,51.61,3.75,150.5,0.524,0.29,193.0,
"{'id': '001d94a9-e37d-4242-955b-0c69453e1438', 'year': 2017, 'tour': {'id': 'b52068af-28e4-4e91-bdbb-037591b0ff84', 'alias': 'pga', 'name': 'PGA Tour'}}",25.0,12.0,14.0,6.0,19.0,3000.0,1.0,9921560.0,1.0,309.7,55.05,67.16,4.0,0.289,"35' 2""",60.39,69.359,5.0,,1.694,48.21,4.48,101.6,1.33,1.618,170.0,1.0
"{'id': 'dbc9bbb1-e51c-47bc-8f72-be7598ffbf7e', 'year': 2018, 'tour': {'id': 'b52068af-28e4-4e91-bdbb-037591b0ff84', 'alias': 'pga', 'name': 'PGA Tour'}}",23.0,10.0,20.0,2.0,21.0,1610.0,7.0,8694821.0,1.0,311.9,57.83,69.52,4.0,0.273,"34' 10""",63.08,69.118,3.0,,1.707,54.2,4.34,86.8,1.59,1.863,152.0,1.0
"{'id': '42cb037c-a813-49b3-a64e-1355e7bf4038', 'year': 2019, 'tour': {'id': 'b52068af-28e4-4e91-bdbb-037591b0ff84', 'alias': 'pga', 'name': 'PGA Tour'}}",20.0,7.0,14.0,2.0,18.0,3475.0,3.0,5013084.0,8.0,302.2,59.98,70.68,5.0,-0.186,"34' 11""",61.32,69.466,1.0,3.0,1.716,52.58,4.58,92.6,1.817,1.631,170.0,1.0
"{'id': '83eb0a3a-dd69-40d3-a9ba-f49e398fdb61', 'year': 2020, 'tour': {'id': 'b52068af-28e4-4e91-bdbb-037591b0ff84', 'alias': 'pga', 'name': 'PGA Tour'}}",18.0,10.0,13.0,3.0,15.0,2570.0,3.0,7344040.0,1.0,304.2,57.25,69.61,3.0,-0.031,"34' 3""",63.16,69.128,3.0,1.0,1.722,62.5,4.55,198.0,1.741,1.709,179.0,2.0
"{'id': '2d6bebeb-a384-463c-9baf-c2064340acfd', 'year': 2021, 'tour': {'id': 'b52068af-28e4-4e91-bdbb-037591b0ff84', 'alias': 'pga', 'name': 'PGA Tour'}}",23.0,7.0,15.0,2.0,21.0,2371.0,4.0,6537153.0,5.0,303.9,55.72,67.79,6.0,0.026,"35' 3""",61.81,69.773,1.0,1.0,1.711,56.06,4.31,94.5,1.418,1.444,210.0,1.0
"{'id': '133720bb-8653-4d8e-9f49-b9f4fe41a161', 'year': 2022, 'tour': {'id': 'b52068af-28e4-4e91-bdbb-037591b0ff84', 'alias': 'pga', 'name': 'PGA Tour'}}",21.0,10.0,13.0,2.0,19.0,2025.0,5.0,6829576.0,9.0,314.3,54.78,68.35,7.0,0.091,"34' 8""",64.67,69.493,1.0,3.0,1.718,62.71,4.58,114.0,1.589,1.68,181.0,
"{'id': 'ece9907c-6fe3-4944-8cb9-bb1033270259', 'year': 2023, 'tour': {'id': 'b52068af-28e4-4e91-bdbb-037591b0ff84', 'alias': 'pga', 'name': 'PGA Tour'}}",21.0,4.0,11.0,6.0,15.0,718.0,69.0,3566403.0,48.0,308.5,55.19,65.74,24.0,-0.161,"38' 7""",58.78,70.52,,,1.768,50.0,4.0,144.0,0.998,0.836,177.0,
